"","X1","HT","AIN","long_distance","Fx","Fy","MI_X","MI_Y"
"1",2009-01-02,1,1,NA,NA,NA,NA,NA
"2",2009-01-05,0.918918918918919,0.996223564954683,NA,0.0649350649350649,0.484848484848485,0.0175949023635809,0.883253652137561
"3",2009-01-06,0.949324324324324,1.03474320241692,NA,0.83982683982684,0.896103896103896,0.55225072848888,0.813853788326838
"4",2009-01-07,1.01351351351351,1.02341389728097,NA,0.917748917748918,0.363636363636364,0.983321402911776,0.0718153427220976
"5",2009-01-08,1.01013513513514,1.03625377643505,NA,0.489177489177489,0.722943722943723,0.26471062232578,0.822254142003225
"6",2009-01-09,0.97972972972973,1.00302114803625,NA,0.220779220779221,0.155844155844156,0.465678896875076,0.225198831293105
"7",2009-01-12,0.902027027027027,0.971299093655589,NA,0.0692640692640693,0.16017316017316,0.104016653428728,0.552635906293421
"8",2009-01-13,0.915540540540541,0.935045317220544,NA,0.744588744588745,0.125541125541126,0.950412794548924,0.0243258773062155
"9",2009-01-14,0.85472972972973,0.882175226586103,NA,0.103896103896104,0.0649350649350649,0.415104398126186,0.163442974094438
"10",2009-01-15,0.902027027027027,0.882175226586103,NA,0.904761904761905,0.567099567099567,0.961301614692342,0.170661248273549
"11",2009-01-16,0.932432432432432,0.860271903323263,NA,0.83982683982684,0.216450216450216,0.968256670835279,0.0428882307608824
"12",2009-01-20,0.814189189189189,0.790785498489426,NA,0.025974025974026,0.0303030303030303,0.20254025207556,0.272890304850189
"13",2009-01-21,0.891891891891892,0.83987915407855,NA,0.939393939393939,0.961038961038961,0.628934985991756,0.843369506327369
"14",2009-01-22,0.824324324324324,0.805891238670695,NA,0.0735930735930736,0.125541125541126,0.154785558967838,0.449092195958388
"15",2009-01-23,0.83445945945946,0.756042296072508,NA,0.701298701298701,0.0649350649350649,0.948953278960588,0.0104614197427815
"16",2009-01-26,0.861486486486486,0.772658610271903,NA,0.83982683982684,0.796536796536797,0.743999946406231,0.578644444913733
"17",2009-01-27,0.858108108108108,0.780966767371601,NA,0.476190476190476,0.696969696969697,0.272388291776633,0.800443290018582
"18",2009-01-28,0.868243243243243,0.775679758308157,NA,0.701298701298701,0.428571428571429,0.833164215792618,0.217230193708259
"19",2009-01-29,0.851351351351351,0.782477341389728,NA,0.337662337662338,0.666666666666667,0.153772485217835,0.847758072295729
"20",2009-01-30,0.820945945945946,0.756042296072508,NA,0.199134199134199,0.142857142857143,0.446259120885796,0.224469619388163
"21",2009-02-02,0.861486486486486,0.775679758308157,NA,0.891774891774892,0.826839826839827,0.820317560680611,0.532559048706568
"22",2009-02-03,0.858108108108108,0.767371601208459,NA,0.476190476190476,0.376623376623377,0.592971166112245,0.335631565068846
"23",2009-02-04,0.831081081081081,0.755287009063444,NA,0.203463203463203,0.311688311688312,0.219318237271937,0.550380967994753
"24",2009-02-05,0.824324324324324,0.773413897280967,NA,0.424242424242424,0.818181818181818,0.140547984396794,0.930977800195439
"25",2009-02-06,0.858108108108108,0.81797583081571,NA,0.878787878787879,0.956709956709957,0.43404832220513,0.92446905430627
"26",2009-02-09,0.858108108108108,0.809667673716012,NA,0.545454545454545,0.380952380952381,0.685762663852929,0.280664282657031
"27",2009-02-10,0.783783783783784,0.765861027190332,NA,0.0562770562770563,0.0822510822510823,0.176940616815993,0.373921778195
"28",2009-02-11,0.831081081081081,0.787764350453172,NA,0.913419913419913,0.844155844155844,0.850840435435099,0.513514945357843
"29",2009-02-12,0.804054054054054,0.792296072507553,NA,0.199134199134199,0.632034632034632,0.0674823332927793,0.885301331282229
"30",2009-02-13,0.777027027027027,0.774924471299094,NA,0.199134199134199,0.255411255411255,0.269249754121725,0.457696876846766
"31",2009-02-17,0.766891891891892,0.723564954682779,NA,0.393939393939394,0.0606060606060606,0.843073331941511,0.0218017363051554
"32",2009-02-18,0.753378378378378,0.765861027190332,NA,0.350649350649351,0.956709956709957,0.0576783352184478,0.99346827445604
"33",2009-02-19,0.733108108108108,0.746223564954683,NA,0.242424242424242,0.207792207792208,0.419097129246283,0.301705841074126
"34",2009-02-20,0.72972972972973,0.73036253776435,NA,0.463203463203463,0.268398268398268,0.686805573939228,0.197097887154623
"35",2009-02-23,0.668918918918919,0.697885196374622,NA,0.0649350649350649,0.103896103896104,0.163442974094438,0.415104398126186
"36",2009-02-24,0.689189189189189,0.695619335347432,NA,0.831168831168831,0.493506493506494,0.923381930962256,0.180825997798438
"37",2009-02-25,0.611486486486487,0.661631419939577,NA,0.0346320346320346,0.0865800865800866,0.0859871485562783,0.511167313420325
"38",2009-02-26,0.570945945945946,0.670694864048338,NA,0.103896103896104,0.735930735930736,0.0189046245588593,0.951178630813075
"39",2009-02-27,0.608108108108108,0.649546827794562,NA,0.913419913419913,0.16017316017316,0.987231317027618,0.0250150621630231
"40",2009-03-02,0.537162162162162,0.592900302114804,NA,0.0346320346320346,0.0303030303030303,0.272300407488743,0.21018908795067
"41",2009-03-03,0.530405405405405,0.530211480362538,NA,0.393939393939394,0.0173160173160173,0.899356729232241,0.00325879610193899
"42",2009-03-04,0.625,0.501510574018127,"AIN",0.982683982683983,0.0822510822510823,0.99761508991008,0.0156317452298146
"43",2009-03-05,0.513513513513513,0.446374622356495,"AIN",0.00432900432900433,0.012987012987013,0.0586725652484935,0.468816105573543
"44",2009-03-06,0.456081081081081,0.388972809667674,"AIN",0.0346320346320346,0.012987012987013,0.473284041837372,0.0725865866558177
"45",2009-03-09,0.388513513513513,0.382175226586103,"AIN",0.0173160173160173,0.298701298701299,0.00476265733266776,0.86733720944171
