,KRNY,TR
2008-02-01,1.0,1.0
2008-02-04,0.9581911262798635,0.9712509712509713
2008-02-05,0.9513651877133106,0.952991452991453
2008-02-06,0.9436860068259385,0.9502719502719503
2008-02-07,0.9513651877133106,0.9584304584304586
2008-02-08,0.9368600682593856,0.9467754467754469
2008-02-11,0.9368600682593856,0.9444444444444444
2008-02-12,0.940273037542662,0.9595959595959597
2008-02-13,0.954778156996587,0.9906759906759908
2008-02-14,0.9180887372013651,0.9440559440559442
2008-02-15,0.9300341296928327,0.9494949494949496
2008-02-19,0.9223549488054608,0.9467754467754469
2008-02-20,0.9334470989761091,0.9665889665889666
2008-02-21,0.9675767918088737,0.9425019425019426
2008-02-22,0.9539249146757678,0.940947940947941
2008-02-25,0.9539249146757678,0.9611499611499611
2008-02-26,0.9641638225255973,0.966977466977467
2008-02-27,0.9385665529010239,0.9494949494949496
2008-02-28,0.9215017064846417,0.947940947940948
2008-02-29,0.9129692832764504,0.9413364413364415
2008-03-03,0.901877133105802,0.9382284382284383
2008-03-04,0.9078498293515358,0.9308469308469309
2008-03-05,0.8890784982935153,0.9184149184149185
2008-03-06,0.8651877133105802,0.8714063714063714
2008-03-07,0.8651877133105802,0.8508158508158508
2008-03-10,0.8515358361774744,0.846930846930847
2008-03-11,0.9215017064846417,0.8776223776223777
2008-03-12,0.8950511945392491,0.8954933954933956
2008-03-13,0.9308873720136518,0.8982128982128983
2008-03-14,0.8848122866894197,0.8745143745143746
2008-03-17,0.8668941979522184,0.8675213675213675
2008-03-18,0.9189419795221843,0.9001554001554003
2008-03-19,0.8993174061433445,0.9188034188034188
2008-03-20,0.93259385665529,0.9580419580419581
2008-03-24,0.9564846416382253,0.952991452991453
2008-03-25,0.9479522184300341,0.9572649572649573
2008-03-26,0.9385665529010239,0.9514374514374514
2008-03-27,0.9368600682593856,0.9463869463869464
2008-03-28,0.9206484641638224,0.9467754467754469
2008-03-31,0.9343003412969282,0.9790209790209791
2008-04-01,0.9470989761092149,0.9914529914529915
2008-04-02,0.9385665529010239,1.0023310023310024
2008-04-03,0.9257679180887372,1.0034965034965035
2008-04-04,0.9360068259385665,1.0198135198135199
2008-04-07,0.9240614334470989,1.0236985236985239
2008-04-08,0.9257679180887372,1.0170940170940173
2008-04-09,0.9334470989761091,0.9996114996114996
2008-04-10,0.9232081911262798,0.9953379953379954
2008-04-11,0.9129692832764504,0.9673659673659674
2008-04-14,0.9146757679180887,0.9623154623154624
2008-04-15,0.908703071672355,0.9704739704739705
2008-04-16,0.9240614334470989,0.9712509712509713
2008-04-17,0.9291808873720137,0.9693084693084694
2008-04-18,0.9377133105802048,0.982905982905983
2008-04-21,0.9377133105802048,0.9712509712509713
2008-04-22,0.9189419795221843,0.9533799533799534
2008-04-23,0.9368600682593856,0.9483294483294484
2008-04-24,0.9419795221843003,0.9351204351204352
2008-04-25,0.9419795221843003,0.9040404040404041
2008-04-28,0.9543515358361775,0.961926961926962
2008-04-29,0.9377133105802048,0.9514374514374514
2008-04-30,0.9283276450511946,0.9452214452214452
2008-05-01,0.9650170648464164,0.9483294483294484
2008-05-02,0.9709897610921502,0.9374514374514374
2008-05-05,0.9607508532423208,0.925019425019425
2008-05-06,0.9598976109215016,0.9327894327894329
2008-05-07,0.9522184300341296,0.9164724164724165
2008-05-08,0.93259385665529,0.9184149184149185
2008-05-09,0.940273037542662,0.9273504273504275
2008-05-12,0.9377133105802048,0.933954933954934
2008-05-13,0.9462457337883958,0.925019425019425
2008-05-14,0.9394197952218429,0.9296814296814297
2008-05-15,0.954778156996587,0.9324009324009325
2008-05-16,0.9522184300341296,0.9300699300699302
2008-05-19,0.9462457337883958,0.9343434343434345
2008-05-20,0.9470989761092149,0.933954933954934
2008-05-21,0.93259385665529,0.947940947940948
2008-05-22,0.9539249146757678,0.9580419580419581
2008-05-23,0.940273037542662,0.9448329448329449
2008-05-27,0.9667235494880546,0.9790209790209791
2008-05-28,0.9581911262798635,0.984071484071484
2008-05-29,0.9889078498293514,0.9945609945609947
2008-05-30,0.9931740614334471,0.9957264957264957
2008-06-02,0.9795221843003413,0.982905982905983
2008-06-03,0.9769624573378839,0.993006993006993
2008-06-04,0.9803754266211604,1.0062160062160062
2008-06-05,0.9812286689419795,1.0240870240870241
2008-06-06,0.9488054607508531,1.0182595182595184
2008-06-09,0.9505119453924915,1.0256410256410255
2008-06-10,0.9513651877133106,1.0240870240870241
2008-06-11,0.93259385665529,0.9972804972804974
2008-06-12,0.9496587030716723,1.034965034965035
2008-06-13,0.9590443686006825,1.0512820512820513
2008-06-16,0.9854948805460751,1.048951048951049
2008-06-17,0.9428327645051194,1.0590520590520591
2008-06-18,0.9377133105802048,1.0466200466200468
2008-06-19,0.9385665529010239,1.0501165501165501
2008-06-20,0.9368600682593856,1.0423465423465423
2008-06-23,0.9385665529010239,1.0396270396270397
2008-06-24,0.9266211604095562,1.0536130536130537
2008-06-25,0.9445392491467577,1.0423465423465423
2008-06-26,0.9428327645051194,1.026029526029526
2008-06-27,0.9573378839590444,1.0190365190365192
2008-06-30,0.9385665529010239,0.9763014763014763
2008-07-01,0.9394197952218429,0.9650349650349651
2008-07-02,0.9394197952218429,0.9595959595959597
2008-07-03,0.9385665529010239,0.9413364413364415
2008-07-07,0.9215017064846417,0.9195804195804197
2008-07-08,0.9786689419795221,0.9226884226884228
2008-07-09,0.9385665529010239,0.9312354312354313
2008-07-10,0.9564846416382253,0.9324009324009325
2008-07-11,0.9641638225255973,0.9537684537684539
2008-07-14,0.9197952218430033,0.9506604506604507
