"","X1","AIV","LNC","long_distance","Fx","Fy","MI_X","MI_Y"
"1",2009-01-02,1,1,NA,NA,NA,NA,NA
"2",2009-01-05,0.979381443298969,1.09323308270677,"AIV",0.303030303030303,0.926406926406926,0.0537763949968055,0.989951727510323
"3",2009-01-06,1.09106529209622,1.25363408521303,"AIV",0.956709956709957,0.965367965367965,0.641342969366868,0.790572240856556
"4",2009-01-07,1.01975945017182,1.06365914786967,"AIV",0.121212121212121,0.0303030303030303,0.726883130524675,0.02996504038686
"5",2009-01-08,1.02319587628866,1.00651629072682,NA,0.545454545454545,0.112554112554113,0.89786307971291,0.0249646106608953
"6",2009-01-09,1.03780068728522,1.00751879699248,NA,0.653679653679654,0.506493506493506,0.750832968688264,0.31890139900654
"7",2009-01-12,0.904639175257732,0.876691729323308,NA,0.0346320346320346,0.051948051948052,0.161242495154235,0.427516409707799
"8",2009-01-13,0.888316151202749,1.00501253132832,"AIV",0.329004329004329,0.961038961038961,0.0565865900115822,0.995832800296028
"9",2009-01-14,0.834192439862543,0.902255639097744,"AIV",0.125541125541126,0.0779220779220779,0.496775775245878,0.15537844094445
"10",2009-01-15,0.856529209621993,0.896240601503759,"AIV",0.761904761904762,0.45021645021645,0.905265668958281,0.162263257504354
"11",2009-01-16,0.905498281786941,0.912781954887218,"AIV",0.883116883116883,0.748917748917749,0.898621258802578,0.339618133462048
"12",2009-01-20,0.743986254295533,0.735839598997494,NA,0.0173160173160173,0.012987012987013,0.365014034744756,0.183387510724344
"13",2009-01-21,0.856529209621993,0.835588972431078,NA,0.978354978354978,0.956709956709957,0.900352851527242,0.482727909492107
"14",2009-01-22,0.799828178694158,0.750877192982456,NA,0.121212121212121,0.0779220779220779,0.481955385941766,0.164072768856658
"15",2009-01-23,0.845360824742268,0.815037593984963,NA,0.883116883116883,0.922077922077922,0.533475269291276,0.826563838970358
"16",2009-01-26,0.842783505154639,0.798496240601504,NA,0.489177489177489,0.29004329004329,0.735650525174497,0.176712500866229
"17",2009-01-27,0.834192439862543,0.849624060150376,NA,0.415584415584416,0.913419913419913,0.0812585063114628,0.985123537645245
"18",2009-01-28,0.897766323024055,1.03458646616541,"AIV",0.913419913419913,0.978354978354978,0.288431299584506,0.970547115698153
"19",2009-01-29,0.813573883161512,0.844110275689223,"AIV",0.0822510822510823,0.012987012987013,0.776856758014619,0.012662517663831
"20",2009-01-30,0.763745704467354,0.758395989974937,NA,0.125541125541126,0.0779220779220779,0.496775775245878,0.15537844094445
"21",2009-02-02,0.768041237113402,0.811027568922306,NA,0.567099567099567,0.913419913419913,0.13414267559145,0.977358876062758
"22",2009-02-03,0.766323024054983,0.8,NA,0.502164502164502,0.380952380952381,0.654261403174689,0.292951484415903
"23",2009-02-04,0.743986254295533,0.792481203007519,NA,0.242424242424242,0.41991341991342,0.164426698853224,0.700122550547244
"24",2009-02-05,0.664089347079038,0.859649122807018,"AIV",0.0649350649350649,0.922077922077922,0.0118409368769129,0.98485917523599
"25",2009-02-06,0.622852233676976,0.828070175438597,"AIV",0.125541125541126,0.155844155844156,0.244675190982259,0.418936120726253
"26",2009-02-09,0.630584192439863,0.890726817042606,"AIV",0.632034632034632,0.922077922077922,0.159106229425606,0.975563707244964
"27",2009-02-10,0.547250859106529,0.72280701754386,"AIV",0.0346320346320346,0.012987012987013,0.594759046992763,0.0597689791740637
"28",2009-02-11,0.560137457044673,0.741353383458647,"AIV",0.735930735930736,0.80952380952381,0.475374870116723,0.772676824614926
"29",2009-02-12,0.555841924398625,0.740350877192982,"AIV",0.445887445887446,0.493506493506494,0.411732457502579,0.559090572769666
"30",2009-02-13,0.504295532646048,0.71077694235589,"AIV",0.0822510822510823,0.151515151515152,0.126069299818373,0.557037672656529
"31",2009-02-17,0.457044673539519,0.640601503759399,"AIV",0.0822510822510823,0.0822510822510823,0.301017218071637,0.301017218071637
"32",2009-02-18,0.466494845360825,0.670676691729323,"AIV",0.722943722943723,0.878787878787879,0.309349504376059,0.908712029777832
"33",2009-02-19,0.439003436426117,0.584962406015038,"AIV",0.125541125541126,0.051948051948052,0.621154999174989,0.0760247169848435
"34",2009-02-20,0.479381443298969,0.5734335839599,"AIV",0.943722943722944,0.298701298701299,0.993103211655234,0.0522324423770994
"35",2009-02-23,0.447594501718213,0.519298245614035,"AIV",0.121212121212121,0.0865800865800866,0.444216277461847,0.19477355403076
"36",2009-02-24,0.486254295532646,0.653634085213033,"AIV",0.939393939393939,0.987012987012987,0.273742032016695,0.978124683343255
"37",2009-02-25,0.469931271477663,0.561904761904762,"AIV",0.220779220779221,0.0346320346320346,0.820857362976005,0.0134132361762384
"38",2009-02-26,0.444158075601375,0.538847117794486,"AIV",0.147186147186147,0.147186147186147,0.331323172407537,0.331323172407537
"39",2009-02-27,0.448453608247423,0.430576441102757,NA,0.614718614718615,0.012987012987013,0.937012417913048,0.000897005886197211
"40",2009-03-02,0.428694158075601,0.386466165413534,NA,0.168831168831169,0.0779220779220779,0.615934467622761,0.095304227133519
"41",2009-03-03,0.438144329896907,0.328822055137845,"LNC",0.735930735930736,0.0303030303030303,0.952161586674446,0.00302057137046176
"42",2009-03-04,0.464776632302406,0.358897243107769,"LNC",0.896103896103896,0.926406926406926,0.562847722767463,0.811470021174572
"43",2009-03-05,0.427835051546392,0.293233082706767,"LNC",0.103896103896104,0.012987012987013,0.807779765321677,0.00841360951951394
"44",2009-03-06,0.424398625429553,0.270676691729323,"LNC",0.437229437229437,0.0952380952380952,0.861416386690902,0.0263419809816486
"45",2009-03-09,0.439862542955326,0.251127819548872,"LNC",0.818181818181818,0.0952380952380952,0.968671064122847,0.0140067523845178
"46",2009-03-10,0.49914089347079,0.319799498746867,"LNC",0.96969696969697,0.987012987012987,0.444833024645007,0.924579780871621
"47",2009-03-11,0.469072164948454,0.360401002506266,"LNC",0.125541125541126,0.948051948051948,0.0246728506625053,0.992352927610336
"48",2009-03-12,0.515463917525773,0.414035087719298,"LNC",0.948051948051948,0.965367965367965,0.572483590292201,0.838757504845764
"49",2009-03-13,0.502577319587629,0.452631578947368,"LNC",0.277056277056277,0.926406926406926,0.0488732064476094,0.990082638531573
"50",2009-03-16,0.430412371134021,0.407518796992481,"LNC",0.0216450216450216,0.0822510822510823,0.0322999674134814,0.700198489625908
"51",2009-03-17,0.487113402061856,0.408521303258145,"LNC",0.96969696969697,0.532467532467532,0.996326416114277,0.0878494266949088
"52",2009-03-18,0.515463917525773,0.473684210526316,"LNC",0.883116883116883,0.974025974025974,0.256055253904518,0.975934808274777
"53",2009-03-19,0.468213058419244,0.403007518796992,"LNC",0.0822510822510823,0.0303030303030303,0.626888646930887,0.0598791744621664
"54",2009-03-20,0.439003436426117,0.366416040100251,"LNC",0.125541125541126,0.0865800865800866,0.459483497116516,0.184940676486707
"55",2009-03-23,0.528350515463918,0.486215538847118,"LNC",0.991341991341991,0.991341991341991,0.735686531731301,0.735686531731301
"56",2009-03-24,0.47766323024055,0.468170426065163,"LNC",0.0822510822510823,0.155844155844156,0.120321734784362,0.568526716905298
"57",2009-03-25,0.480240549828179,0.46015037593985,"LNC",0.567099567099567,0.329004329004329,0.790718357549937,0.170135425877482
"58",2009-03-26,0.493127147766323,0.479699248120301,"LNC",0.761904761904762,0.857142857142857,0.42400379858132,0.839358237407285
"59",2009-03-27,0.468213058419244,0.519799498746867,NA,0.151515151515152,0.922077922077922,0.0267217814744523,0.988620784068857
"60",2009-03-30,0.428694158075601,0.321303258145363,"LNC",0.0952380952380952,0.00432900432900433,0.86780257453718,0.00145917900024171
"61",2009-03-31,0.470790378006873,0.335338345864662,"LNC",0.948051948051948,0.861471861471861,0.936030966929569,0.346910618928722
"62",2009-04-01,0.474226804123711,0.354385964912281,"LNC",0.58008658008658,0.904761904761905,0.147355524588058,0.971868620899102
"63",2009-04-02,0.502577319587629,0.32531328320802,"LNC",0.891774891774892,0.0909090909090909,0.981428127918604,0.014796217100156
"64",2009-04-03,0.550687285223368,0.345864661654135,"LNC",0.948051948051948,0.913419913419913,0.858640036437166,0.515091325356982
"65",2009-04-06,0.549828178694158,0.319799498746867,"LNC",0.506493506493506,0.0952380952380952,0.890891547192561,0.0209999060921861
"66",2009-04-07,0.519759450171821,0.345363408521303,"LNC",0.147186147186147,0.922077922077922,0.0259856447702302,0.988536797186099
"67",2009-04-08,0.518900343642612,0.458646616541353,"LNC",0.506493506493506,0.991341991341991,0.0734437300849844,0.999462426363318
"68",2009-04-09,0.608247422680412,0.521303258145363,"LNC",0.987012987012987,0.956709956709957,0.959838069782498,0.346170014401923
"69",2009-04-13,0.574742268041237,0.51328320802005,"LNC",0.147186147186147,0.341991341991342,0.0906700499979893,0.729808080962936
"70",2009-04-14,0.526632302405498,0.46516290726817,"LNC",0.0952380952380952,0.0865800865800866,0.341351003113378,0.270224919627323
"71",2009-04-15,0.579037800687285,0.505263157894737,"LNC",0.948051948051948,0.922077922077922,0.833733231756187,0.556694342700449
"72",2009-04-16,0.600515463917526,0.482205513784461,"LNC",0.826839826839827,0.12987012987013,0.970712603663203,0.0206287137065638
"73",2009-04-17,0.591924398625429,0.504761904761905,"LNC",0.38961038961039,0.878787878787879,0.0824494799395485,0.975910232127828
"74",2009-04-20,0.507731958762887,0.440100250626566,"LNC",0.0216450216450216,0.051948051948052,0.0730975612194807,0.57670920786116
"75",2009-04-21,0.585051546391752,0.529323308270677,"LNC",0.978354978354978,0.978354978354978,0.728549883608242,0.728549883608242
"76",2009-04-22,0.583333333333333,0.519799498746867,"LNC",0.493506493506494,0.316017316017316,0.714306229454603,0.206801177846154
"77",2009-04-23,0.602233676975945,0.509273182957394,"LNC",0.787878787878788,0.29004329004329,0.952075004423582,0.0662646497331783
"78",2009-04-24,0.631443298969072,0.509273182957394,"LNC",0.861471861471861,0.497835497835498,0.959185821081853,0.133927760688678
"79",2009-04-27,0.579896907216495,0.496240601503759,"LNC",0.0995670995670996,0.238095238095238,0.0824040928440228,0.680285983777986
"80",2009-04-28,0.59020618556701,0.488721804511278,"LNC",0.683982683982684,0.346320346320346,0.884731308387448,0.124779078245869
"81",2009-04-29,0.617697594501718,0.565914786967418,"LNC",0.861471861471861,0.974025974025974,0.22445243781173,0.982194213195245
"82",2009-04-30,0.627147766323024,0.563408521303258,"LNC",0.670995670995671,0.480519480519481,0.796656494170668,0.26507587735318
"83",2009-05-01,0.624570446735395,0.570927318295739,"LNC",0.471861471861472,0.692640692640693,0.2345083430046,0.828928266157089
"84",2009-05-04,0.722508591065292,0.599498746867168,"LNC",0.982683982683983,0.883116883116883,0.988508538417605,0.204891674443463
"85",2009-05-05,0.702749140893471,0.586967418546366,"LNC",0.264069264069264,0.29004329004329,0.344491528207354,0.44132363187791
"86",2009-05-06,0.771477663230241,0.780576441102757,NA,0.948051948051948,0.991341991341991,0.240633724756492,0.986257166440855
"87",2009-05-07,0.707044673539519,0.796992481203008,NA,0.0952380952380952,0.783549783549784,0.0138670702687086,0.962249330859013
"88",2009-05-08,0.811855670103093,0.914285714285714,"AIV",0.978354978354978,0.965367965367965,0.857431321691177,0.561308541396972
"89",2009-05-11,0.757731958762887,0.831077694235589,"AIV",0.121212121212121,0.0865800865800866,0.444216277461847,0.19477355403076
"90",2009-05-12,0.741408934707904,0.809022556390978,"AIV",0.29004329004329,0.233766233766234,0.49480993352326,0.281675489197189
"91",2009-05-13,0.661512027491409,0.72280701754386,"AIV",0.0649350649350649,0.0692640692640693,0.271114093792409,0.317237405910542
"92",2009-05-14,0.688144329896907,0.814035087719298,"AIV",0.835497835497836,0.948051948051948,0.296074095502195,0.952850858191358
"93",2009-05-15,0.667525773195876,0.808020050125313,"AIV",0.242424242424242,0.437229437229437,0.152626729933059,0.722458469696025
"94",2009-05-18,0.760309278350515,0.884711779448622,"AIV",0.978354978354978,0.926406926406926,0.960549840458383,0.326080727659537
"95",2009-05-19,0.756872852233677,0.882205513784461,"AIV",0.463203463203463,0.480519480519481,0.459333295018263,0.513294099864091
"96",2009-05-20,0.770618556701031,0.844110275689223,"AIV",0.692640692640693,0.142857142857143,0.93838275127875,0.0266063294262072
"97",2009-05-21,0.7946735395189,0.856140350877193,"AIV",0.783549783549784,0.692640692640693,0.774469332496013,0.439678424447206
"98",2009-05-22,0.765463917525773,0.853634085213033,"AIV",0.199134199134199,0.480519480519481,0.0868157717525853,0.809568962024925
"99",2009-05-26,0.798109965635739,0.887218045112782,"AIV",0.852813852813853,0.848484848484849,0.679647969913166,0.655561934559024
"100",2009-05-27,0.751718213058419,0.856140350877193,"AIV",0.125541125541126,0.168831168831169,0.21864019920325,0.456844839128335
"101",2009-05-28,0.776632302405498,0.902756892230577,"AIV",0.80952380952381,0.896103896103896,0.421314087072412,0.869148632470403
"102",2009-05-29,0.811855670103093,0.949874686716792,"AIV",0.852813852813853,0.891774891774892,0.551423658676827,0.790146879867489
"103",2009-06-01,0.870274914089347,0.981453634085213,"AIV",0.904761904761905,0.83982683982684,0.851110294645576,0.467771151783352
"104",2009-06-02,0.851374570446735,0.974436090225564,"AIV",0.29004329004329,0.437229437229437,0.217665516410462,0.665258148758157
"105",2009-06-03,0.872852233676976,0.91328320802005,"AIV",0.753246753246753,0.103896103896104,0.956138141699321,0.0156945818745395
