"","X1","VIAB","FOXA","long_distance","Fx","Fy","MI_X","MI_Y"
"1",2009-01-02,1,1,NA,NA,NA,NA,NA
"2",2009-01-05,1.01976685250887,0.980392156862745,NA,0.822510822510823,0.242424242424242,0.974285089494428,0.0334069094734686
"3",2009-01-06,1.04612265585403,1.01651186790506,NA,0.852813852813853,0.887445887445887,0.569254872694576,0.778042076389227
"4",2009-01-07,0.990876837303599,0.933952528379773,NA,0.0735930735930736,0.0346320346320346,0.566989233320248,0.104464684809302
"5",2009-01-08,0.97364419665484,0.920536635706914,NA,0.225108225108225,0.32034632034632,0.23868832661638,0.532436759183035
"6",2009-01-09,0.936644703497212,0.90092879256966,NA,0.116883116883117,0.220779220779221,0.139249055910794,0.58096527915875
"7",2009-01-12,0.893563101875317,0.87203302373581,NA,0.0865800865800866,0.147186147186147,0.156293116723563,0.513616149981874
"8",2009-01-13,0.887987835783071,0.896800825593395,NA,0.411255411255411,0.874458874458874,0.0748203992981555,0.974320916249423
"9",2009-01-14,0.848960973137354,0.836945304437564,NA,0.0909090909090909,0.0562770562770563,0.475304127702192,0.162132648651528
"10",2009-01-15,0.839837810440953,0.828689370485036,NA,0.341991341991342,0.38961038961039,0.361235482576034,0.489782378603908
"11",2009-01-16,0.824125696908262,0.82765737874097,NA,0.203463203463203,0.541125541125541,0.0838897913460206,0.83423089438637
"12",2009-01-20,0.768879878357831,0.737874097007224,NA,0.0432900432900433,0.0173160173160173,0.614094449061903,0.0784155256540969
"13",2009-01-21,0.786112519006589,0.793601651186791,NA,0.826839826839827,0.961038961038961,0.179427526920036,0.976719442301203
"14",2009-01-22,0.78205778003041,0.742002063983488,NA,0.445887445887446,0.0562770562770563,0.937335822691278,0.00859705900215727
"15",2009-01-23,0.761277242777496,0.717234262125903,NA,0.16017316017316,0.142857142857143,0.369738294761528,0.286025887897515
"16",2009-01-26,0.765331981753675,0.714138286893705,NA,0.653679653679654,0.497835497835498,0.734765769346726,0.345166299337528
"17",2009-01-27,0.761784085149518,0.69453044375645,NA,0.454545454545455,0.173160173160173,0.788504030386301,0.0858221858590565
"18",2009-01-28,0.810440952863659,0.7781217750258,NA,0.96969696969697,0.982683982683983,0.468925694443127,0.868294625954253
"19",2009-01-29,0.77749619868221,0.701754385964912,"FOXA",0.0952380952380952,0.0216450216450216,0.782059665499775,0.0281238834302578
"20",2009-01-30,0.747592498732894,0.659442724458204,"FOXA",0.103896103896104,0.0606060606060606,0.50090831874559,0.149572888094979
"21",2009-02-02,0.740496705524582,0.687306501547988,"FOXA",0.363636363636364,0.904761904761905,0.0413706716417278,0.988027346661086
"22",2009-02-03,0.813482007095793,0.700722394220846,"FOXA",0.987012987012987,0.787878787878788,0.99840612455382,0.0424299751504674
"23",2009-02-04,0.786112519006589,0.682146542827657,"FOXA",0.134199134199134,0.177489177489178,0.232690045430961,0.435792705064761
"24",2009-02-05,0.800304105423213,0.716202270381837,"FOXA",0.800865800865801,0.930735930735931,0.275816500555848,0.943395911117922
"25",2009-02-06,0.83933096806893,0.720330237358101,"FOXA",0.943722943722944,0.658008658008658,0.986268930581536,0.106272572670236
"26",2009-02-09,0.838824125696908,0.69969040247678,"FOXA",0.567099567099567,0.155844155844156,0.892854362234607,0.0434823483975839
"27",2009-02-10,0.775975671566143,0.656346749226006,"FOXA",0.0432900432900433,0.0606060606060606,0.194857540990275,0.41459767469798
"28",2009-02-11,0.792194627470857,0.667698658410733,"FOXA",0.822510822510823,0.779220779220779,0.744287586955409,0.564880539734679
"29",2009-02-12,0.825646224024328,0.674922600619195,"FOXA",0.939393939393939,0.718614718614719,0.977101986098718,0.154552277164062
"30",2009-02-13,0.85250886974151,0.670794633642931,"FOXA",0.883116883116883,0.458874458874459,0.973511319684967,0.0897000827008187
"31",2009-02-17,0.799290420679169,0.631578947368421,"FOXA",0.051948051948052,0.0735930735930736,0.193461571113505,0.422594454120301
"32",2009-02-18,0.776989356310188,0.631578947368421,"FOXA",0.16017316017316,0.58008658008658,0.0436530110554402,0.897110601017317
"33",2009-02-19,0.765838824125697,0.621259029927761,"FOXA",0.268398268398268,0.294372294372294,0.342371046753258,0.422544615231968
"34",2009-02-20,0.774961986822098,0.623323013415893,"FOXA",0.748917748917749,0.623376623376623,0.77762068062852,0.414762139431183
"35",2009-02-23,0.754181449569184,0.596491228070176,"FOXA",0.16017316017316,0.116883116883117,0.441423588413021,0.217742137863094
"36",2009-02-24,0.797769893563102,0.631578947368421,"FOXA",0.956709956709957,0.948051948051948,0.76003393769457,0.621123549024057
"37",2009-02-25,0.784591991890522,0.625386996904025,"FOXA",0.233766233766234,0.398268398268398,0.188018091625136,0.639604446778758
"38",2009-02-26,0.780030410542321,0.595459236326109,"FOXA",0.432900432900433,0.103896103896104,0.864561981486534,0.0336875901436758
"39",2009-02-27,0.780030410542321,0.573787409700722,"FOXA",0.575757575757576,0.138528138528139,0.910840565385027,0.0326704745690212
"40",2009-03-02,0.722250380131779,0.544891640866873,"FOXA",0.0432900432900433,0.0909090909090909,0.107528482801775,0.567975016049096
"41",2009-03-03,0.702990369994931,0.551083591331269,"FOXA",0.16017316017316,0.722943722943723,0.0232712844486238,0.95984610611993
"42",2009-03-04,0.717688798783578,0.584107327141383,"FOXA",0.822510822510823,0.948051948051948,0.235297018576054,0.960317180620817
"43",2009-03-05,0.684237202230106,0.552115583075335,"FOXA",0.0865800865800866,0.0865800865800866,0.305342706414899,0.305342706414899
