,EMR,OKE
2008-02-01,1.0,1.0
2008-02-04,1.014745308310992,1.0221803724628584
2008-02-05,0.9707008808885484,0.9878635697844738
2008-02-06,0.9555725775564917,0.9686126804770873
2008-02-07,0.961509000382995,0.9750993931784893
2008-02-08,0.973573343546534,0.98200460347353
2008-02-11,0.9837227116047491,0.9897468089558484
2008-02-12,0.9860206817311375,0.9805398618957941
2008-02-13,1.0155112983531214,0.9897468089558484
2008-02-14,1.0045959402527767,0.984515589035363
2008-02-15,1.0007659900421295,0.9832600962544465
2008-02-19,1.005744925315971,0.9953965264699728
2008-02-20,1.0086173879739564,1.0077422054823184
2008-02-21,0.9902336269628496,0.9874450721908349
2008-02-22,0.9921486020681731,0.9970705168445282
2008-02-25,0.9990425124473382,1.0228081188533167
2008-02-26,1.022788203753351,1.0167399037455536
2008-02-27,1.0212562236690923,1.0054404687173049
2008-02-28,1.0128303332056683,1.0096254446536932
2008-02-29,0.9758713136729222,0.974471646788031
2008-03-03,0.9961700497893529,0.9901653065494873
2008-03-04,0.9781692837993106,0.9897468089558484
2008-03-05,0.9858291842206051,1.0027202343586525
2008-03-06,0.9707008808885484,0.9912115505335845
2008-03-07,0.9471466870930678,0.9889098137685708
2008-03-10,0.9247414783607814,0.9654739485247961
2008-03-11,0.9617004978935274,0.974471646788031
2008-03-12,0.9605515128303331,0.9987445072190835
2008-03-13,0.9548065875143623,1.0102531910441515
2008-03-14,0.9314438912294141,0.9853525842226408
2008-03-17,0.9318268862504787,0.9545930110901862
2008-03-18,0.9527001148985064,0.9776103787403222
2008-03-19,0.9291459211030257,0.94245658087466
2008-03-20,0.9396782841823057,0.9288554090813979
2008-03-24,0.9716583684412103,0.9363883657668969
2008-03-25,0.9938720796629644,0.9426658296714794
2008-03-26,0.9871696667943316,0.9453860640301318
2008-03-27,0.979892761394102,0.9395270977191881
2008-03-28,0.9800842589046342,0.9204854572086211
2008-03-31,0.9854461891995404,0.933877380205064
2008-04-01,1.0239371888165454,0.9545930110901862
2008-04-02,1.0268096514745308,0.9585687382297552
2008-04-03,1.022788203753351,0.9617074701820465
2008-04-04,1.0308310991957104,0.9627537141661435
2008-04-07,1.0224052087322866,0.9684034316802679
2008-04-08,0.9977020298736117,0.9807491106926135
2008-04-09,0.9925315970892379,0.9966520192508894
2008-04-10,0.9873611643048641,0.9776103787403222
2008-04-11,0.9611260053619303,0.962962962962963
2008-04-14,0.9643814630409805,0.9840970914417243
2008-04-15,0.9829567215626197,0.9979075120318058
2008-04-16,1.019532746074301,1.0253191044151497
2008-04-17,1.0032554576790502,1.0217618748692194
2008-04-18,1.0187667560321716,1.0246913580246912
2008-04-21,1.0122558406740712,1.0186231429169283
2008-04-22,1.012064343163539,1.0167399037455536
2008-04-23,1.0199157410953656,1.033479807491107
2008-04-24,1.026426656453466,1.0249006068215107
2008-04-25,1.0291076216009192,1.0265745971960663
2008-04-28,1.016851780926848,1.0190416405105671
2008-04-29,1.0170432784373804,1.0073237078886796
2008-04-30,1.0007659900421295,1.0069052102950409
2008-05-01,1.0201072386058982,0.9945595312826951
2008-05-02,1.0296821141325163,0.9991630048127224
2008-05-05,1.0229797012638837,1.0236451140405942
2008-05-06,1.0735350440444276,1.024063611634233
2008-05-07,1.0503638452700115,1.0318058171165516
2008-05-08,1.046916890080429,1.0265745971960663
2008-05-09,1.0375335120643432,1.021971123666039
2008-05-12,1.0762160091918807,1.0322243147101904
2008-05-13,1.0794714668709307,1.0414312617702448
2008-05-14,1.0863653772500956,1.0441514961288973
2008-05-15,1.0945997702029873,1.040594266582967
2008-05-16,1.0993872079662963,1.056078677547604
2008-05-19,1.104940635771735,1.051056706423938
2008-05-20,1.0961317502872463,1.059426658296715
2008-05-21,1.0903868249712754,1.0521029504080353
2008-05-22,1.0850248946763692,1.051056706423938
2008-05-23,1.073918039065492,1.0391295250052313
2008-05-27,1.0871313672922254,1.0531491943921323
2008-05-28,1.1093450785139793,1.051475204017577
2008-05-29,1.1014936805821525,1.056497175141243
2008-05-30,1.1141325162772884,1.047499476878008
2008-06-02,1.10130218307162,1.0487549696589245
2008-06-03,1.0944082726924549,1.0445699937225361
2008-06-04,1.0951742627345844,1.0357815442561205
2008-06-05,1.1145155112983531,1.048545720862105
2008-06-06,1.0710455764075066,1.0431052521448003
2008-06-09,1.0773649942550747,1.0502197112366605
2008-06-10,1.0767905017234776,1.0433145009416196
2008-06-11,1.0467253925698965,1.0451977401129944
2008-06-12,1.0356185369590196,1.0343168026783847
2008-06-13,1.0708540788969745,1.0257376020087885
2008-06-16,1.0729605515128304,1.0276208411801633
2008-06-17,1.0589812332439679,1.0408035153797865
2008-06-18,1.035810034469552,1.0374555346306757
2008-06-19,1.043852929911911,1.0196693869010254
2008-06-20,1.0323630792799694,1.015065913370998
2008-06-23,1.0270011489850632,1.0292948315547186
2008-06-24,0.9760628111834546,1.0173676501360116
2008-06-25,0.9781692837993106,1.0228081188533167
2008-06-26,0.9369973190348526,1.006486712701402
2008-06-27,0.922443508234393,0.9987445072190835
2008-06-30,0.9469551895825356,1.0217618748692194
2008-07-01,0.956721562619686,1.0313873195229128
2008-07-02,0.9218690157027959,1.0376647834274955
2008-07-03,0.9331673688242053,0.9966520192508894
2008-07-07,0.9385292991191114,0.9815861058798911
2008-07-08,0.9471466870930678,0.9650554509311571
2008-07-09,0.9396782841823057,0.9709144172421008
2008-07-10,0.9532746074301035,0.985980330613099
2008-07-11,0.9448487169666795,0.9958150240636118
2008-07-14,0.95461509000383,0.9863988282067379
