,HHS,TILE
2008-02-01,1.0,1.0
2008-02-04,0.9705014749262537,0.9462044231918709
2008-02-05,0.9380530973451328,0.904961147638972
2008-02-06,0.9480825958702066,0.8834429169157202
2008-02-07,0.9398230088495575,0.913329348475792
2008-02-08,0.928023598820059,0.895397489539749
2008-02-11,0.9380530973451328,0.9270771069934249
2008-02-12,0.9657817109144544,0.9372384937238494
2008-02-13,0.9852507374631269,0.9444112372982666
2008-02-14,0.9710914454277287,0.9557680812910938
2008-02-15,0.9970501474926253,0.9569635385534968
2008-02-19,0.9858407079646019,0.9569635385534968
2008-02-20,1.0053097345132744,0.9814704124327556
2008-02-21,1.0194690265486728,1.044231918708906
2008-02-22,1.024188790560472,0.9982068141063957
2008-02-25,1.0265486725663717,1.0418410041841004
2008-02-26,1.0454277286135694,1.0645546921697548
2008-02-27,1.0342182890855458,1.0609683203825464
2008-02-28,1.0176991150442478,1.023311416616856
2008-02-29,0.9976401179941004,1.0017931858936044
2008-03-03,0.984070796460177,1.0071727435744173
2008-03-04,0.967551622418879,0.9970113568439928
2008-03-05,0.9657817109144544,0.9892408846383742
2008-03-06,0.9421828908554573,0.9617453676031081
2008-03-07,0.9185840707964602,0.9348475791990436
2008-03-10,0.8997050147492626,0.9055588762701733
2008-03-11,0.8707964601769912,0.9294680215182307
2008-03-12,0.8849557522123894,0.9151225343693963
2008-03-13,0.8713864306784661,0.9521817095038851
2008-03-14,0.8389380530973453,0.9246861924686193
2008-03-17,0.8058997050147493,0.8667065152420801
2008-03-18,0.8230088495575221,0.8900179318589361
2008-03-19,0.8047197640117995,0.8601315002988643
2008-03-20,0.7893805309734514,0.885833831440526
2008-03-24,0.8165191740412979,0.8810520023909145
2008-03-25,0.8171091445427728,0.8840406455469216
2008-03-26,0.800589970501475,0.903765690376569
2008-03-27,0.7964601769911505,0.8756724447101016
2008-03-28,0.791740412979351,0.8529587567244471
2008-03-31,0.8064896755162242,0.8398087268380156
2008-04-01,0.8259587020648967,0.8696951583980873
2008-04-02,0.8206489675516224,0.8541542139868499
2008-04-03,0.8253687315634218,0.8368200836820083
2008-04-04,0.8224188790560472,0.8350268977884041
2008-04-07,0.8194690265486726,0.8433950986252241
2008-04-08,0.815929203539823,0.8093245666467423
2008-04-09,0.8141592920353983,0.7955768081291094
2008-04-10,0.8070796460176991,0.8141063956963538
2008-04-11,0.7976401179941003,0.7818290496114764
2008-04-14,0.8123893805309734,0.7680812910938434
2008-04-15,0.7870206489675516,0.8009563658099222
2008-04-16,0.7994100294985251,0.8398087268380156
2008-04-17,0.7893805309734514,0.8350268977884041
2008-04-18,0.7941002949852508,0.8481769276748355
2008-04-21,0.7852507374631269,0.8439928272564255
2008-04-22,0.7657817109144543,0.8362223550508069
2008-04-23,0.7592920353982301,0.839210998206814
2008-04-24,0.76047197640118,0.784219964136282
2008-04-25,0.8070796460176991,0.7740585774058577
2008-04-28,0.7970501474926254,0.7770472205618649
2008-04-29,0.8135693215339233,0.7722653915122534
2008-04-30,0.8058997050147493,0.7674835624626419
2008-05-01,0.8283185840707964,0.7931858936043036
2008-05-02,0.8212389380530973,0.793783622235505
2008-05-05,0.8011799410029499,0.7848176927674836
2008-05-06,0.8082595870206489,0.785415421398685
2008-05-07,0.7958702064896755,0.7656903765690377
2008-05-08,0.8035398230088495,0.7722653915122534
2008-05-09,0.7988200589970501,0.7710699342498506
2008-05-12,0.8100294985250738,0.7770472205618649
2008-05-13,0.8070796460176991,0.7872086072922893
2008-05-14,0.8100294985250738,0.7872086072922893
2008-05-15,0.8141592920353983,0.7788404064554691
2008-05-16,0.8094395280235989,0.8093245666467423
2008-05-19,0.8253687315634218,0.830842797369994
2008-05-20,0.8171091445427728,0.8338314405260011
2008-05-21,0.8082595870206489,0.8129109384339509
2008-05-22,0.8206489675516224,0.8135086670651523
2008-05-23,0.7882005899705015,0.8009563658099222
2008-05-27,0.7882005899705015,0.8194859533771668
2008-05-28,0.7899705014749263,0.8158995815899581
2008-05-29,0.8053097345132744,0.8356246264196056
2008-05-30,0.7994100294985251,0.8463837417812313
2008-06-02,0.7870206489675516,0.826658696951584
2008-06-03,0.7941002949852508,0.8141063956963538
2008-06-04,0.8058997050147493,0.8362223550508069
2008-06-05,0.8106194690265487,0.8565451285116557
2008-06-06,0.8017699115044248,0.8278541542139868
2008-06-09,0.7811209439528024,0.8087268380155409
2008-06-10,0.7716814159292036,0.803347280334728
2008-06-11,0.7669616519174042,0.7692767483562462
2008-06-12,0.7622418879056048,0.7770472205618649
2008-06-13,0.7640117994100295,0.7931858936043036
2008-06-16,0.7716814159292036,0.8141063956963538
2008-06-17,0.768141592920354,0.8003586371787209
2008-06-18,0.7545722713864307,0.7830245068738793
2008-06-19,0.7510324483775812,0.8194859533771668
2008-06-20,0.7262536873156343,0.844590555887627
2008-06-23,0.7209439528023599,0.840406455469217
2008-06-24,0.6938053097345133,0.8284518828451882
2008-06-25,0.712094395280236,0.8135086670651523
2008-06-26,0.6637168141592921,0.8057381948595338
2008-06-27,0.6666666666666667,0.771667662881052
2008-06-30,0.6755162241887905,0.7489539748953974
2008-07-01,0.6707964601769911,0.7095038852361027
2008-07-02,0.6454277286135693,0.6915720263000598
2008-07-03,0.6424778761061948,0.6742378959952181
2008-07-07,0.6336283185840709,0.690376569037657
2008-07-08,0.6424778761061948,0.7196652719665271
2008-07-09,0.6283185840707965,0.6927674835624626
2008-07-10,0.6194690265486726,0.7095038852361027
2008-07-11,0.6371681415929205,0.7226539151225343
2008-07-14,0.6265486725663717,0.7112970711297071
