,TOL,LOW
2008-02-01,1.0,1.0
2008-02-04,0.9422428330522766,0.9698630136986301
2008-02-05,0.9220067453625633,0.9428571428571428
2008-02-06,0.8908094435075885,0.9264187866927593
2008-02-07,0.8929173693086003,0.9385518590998043
2008-02-08,0.8899662731871838,0.9240704500978473
2008-02-11,0.9173693086003374,0.9499021526418786
2008-02-12,0.9097807757166947,0.9467710371819961
2008-02-13,0.9354974704890389,0.9459882583170255
2008-02-14,0.9102023608768972,0.9217221135029354
2008-02-15,0.8747892074198989,0.9131115459882583
2008-02-19,0.8722596964586847,0.9056751467710372
2008-02-20,0.9068296795952784,0.9123287671232876
2008-02-21,0.8861720067453626,0.909197651663405
2008-02-22,0.8988195615514335,0.9232876712328767
2008-02-25,0.9241146711635752,0.958904109589041
2008-02-26,0.9747048903878585,0.9780821917808218
2008-02-27,1.004637436762226,0.9976516634050879
2008-02-28,0.9481450252951096,0.9659491193737769
2008-02-29,0.8941821247892074,0.9381604696673189
2008-03-03,0.8680438448566611,0.9522504892367906
2008-03-04,0.8988195615514335,0.9420743639921721
2008-03-05,0.8962900505902194,0.9295499021526419
2008-03-06,0.8389544688026981,0.8857142857142857
2008-03-07,0.8225126475548061,0.8767123287671232
2008-03-10,0.7980607082630692,0.8457925636007827
2008-03-11,0.851602023608769,0.8692759295499022
2008-03-12,0.8199831365935919,0.8536203522504892
2008-03-13,0.8575042158516021,0.8477495107632094
2008-03-14,0.8208263069139966,0.826614481409002
2008-03-17,0.8111298482293423,0.803522504892368
2008-03-18,0.893760539629005,0.8755381604696674
2008-03-19,0.906408094435076,0.8606653620352249
2008-03-20,0.9738617200674538,0.909197651663405
2008-03-24,1.0193929173693086,0.9506849315068493
2008-03-25,1.0096964586846544,0.9268101761252446
2008-03-26,0.9519392917369308,0.9084148727984345
2008-03-27,0.9603709949409782,0.9009784735812133
2008-03-28,0.9468802698145026,0.8872798434442271
2008-03-31,0.9898819561551434,0.8978473581213308
2008-04-01,1.0590219224283306,0.9585127201565556
2008-04-02,1.0223440134907251,0.9620352250489236
2008-04-03,1.0543844856661047,0.9518590998043053
2008-04-04,1.031618887015177,0.9495107632093934
2008-04-07,1.0219224283305228,0.9475538160469668
2008-04-08,0.9983136593591906,0.9401174168297456
2008-04-09,0.959106239460371,0.9131115459882583
2008-04-10,0.9700674536256325,0.9600782778864971
2008-04-11,0.9473018549747049,0.9389432485322895
2008-04-14,0.9177908937605397,0.940508806262231
2008-04-15,0.9384485666104554,0.9471624266144814
2008-04-16,0.9945193929173693,0.9581213307240705
2008-04-17,0.9962057335581788,0.9600782778864971
2008-04-18,1.0016863406408096,0.9726027397260274
2008-04-21,1.0016863406408096,0.9718199608610567
2008-04-22,0.9886172006745363,0.9518590998043053
2008-04-23,0.9279089376053964,0.9561643835616438
2008-04-24,0.9755480607082632,0.9792563600782779
2008-04-25,0.9898819561551434,1.01839530332681
2008-04-28,1.0050590219224285,1.003522504892368
2008-04-29,0.9890387858347387,0.998825831702544
2008-04-30,0.954468802698145,0.9859099804305284
2008-05-01,1.010539629005059,1.0281800391389433
2008-05-02,1.0075885328836425,1.0227005870841486
2008-05-05,1.046795952782462,0.9960861056751467
2008-05-06,1.054806070826307,0.9945205479452055
2008-05-07,1.005902192242833,0.9757338551859099
2008-05-08,0.9865092748735245,0.9444227005870841
2008-05-09,0.9645868465430016,0.9471624266144814
2008-05-12,0.9852445193929175,0.9663405088062622
2008-05-13,0.9810286677908938,0.9545988258317025
2008-05-14,1.0008431703204046,0.974559686888454
2008-05-15,1.045531197301855,0.9839530332681018
2008-05-16,1.0505902192242835,0.9741682974559687
2008-05-19,1.0286677908937605,0.949119373776908
2008-05-20,0.9759696458684655,0.9299412915851273
2008-05-21,0.9295952782462058,0.9150684931506848
2008-05-22,0.9203204047217538,0.9181996086105675
2008-05-23,0.8882799325463744,0.9119373776908023
2008-05-27,0.9021922428330522,0.9201565557729942
2008-05-28,0.9198988195615515,0.9455968688845401
2008-05-29,0.886593591905565,0.9545988258317025
2008-05-30,0.8882799325463744,0.9393346379647749
2008-06-02,0.8836424957841484,0.9416829745596869
2008-06-03,0.9106239460370996,0.9381604696673189
2008-06-04,0.8861720067453626,0.9409001956947162
2008-06-05,0.8612984822934233,0.963600782778865
2008-06-06,0.8136593591905565,0.9205479452054794
2008-06-09,0.8140809443507588,0.909197651663405
2008-06-10,0.8524451939291737,0.9123287671232876
2008-06-11,0.8064924114671164,0.8943248532289628
2008-06-12,0.8149241146711635,0.9111545988258317
2008-06-13,0.8393760539629006,0.9448140900195695
2008-06-16,0.8604553119730186,0.9412915851272016
2008-06-17,0.854974704890388,0.9174168297455969
2008-06-18,0.856239460370995,0.9060665362035224
2008-06-19,0.8781618887015177,0.922504892367906
2008-06-20,0.8478077571669478,0.8935420743639921
2008-06-23,0.8031197301854975,0.8524461839530333
2008-06-24,0.831787521079258,0.8575342465753425
2008-06-25,0.8520236087689714,0.8661448140900195
2008-06-26,0.8056492411467117,0.8297455968688845
2008-06-27,0.8077571669477235,0.8168297455968689
2008-06-30,0.789629005059022,0.812133072407045
2008-07-01,0.8351602023608768,0.8066536203522504
2008-07-02,0.7951096121416527,0.7917808219178082
2008-07-03,0.7946880269814504,0.7913894324853228
2008-07-07,0.7778246205733558,0.7863013698630137
2008-07-08,0.8140809443507588,0.8148727984344423
2008-07-09,0.7689713322091062,0.7913894324853228
2008-07-10,0.7386172006745363,0.7600782778864971
2008-07-11,0.7268128161888702,0.7397260273972602
2008-07-14,0.7377740303541316,0.7436399217221135
